country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
American Samoa,AS,ASM,16,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,0.8799999952,Total,Units,%,Modelled,,,Total
Andorra,AD,AND,20,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2,Female,Units,%,Modelled,,,Total
Andorra,AD,AND,20,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.160000086,Male,Units,%,Modelled,,,Total
Andorra,AD,AND,20,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.5999999049999998,Total,Units,%,Modelled,,,Total
Angola,AO,AGO,24,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,6.019999981,Female,Units,%,Modelled,,,Total
Angola,AO,AGO,24,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.260000229,Male,Units,%,Modelled,,,Total
Angola,AO,AGO,24,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,6.639999866,Total,Units,%,Modelled,,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.380000114,Female,Units,%,Modelled,,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.7699999809999998,Male,Units,%,Modelled,,,Total
Antigua and Barbuda,AG,ATG,28,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.079999924,Total,Units,%,Modelled,,,Total
Argentina,AR,ARG,32,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.25999999,Female,Units,%,Modelled,,,Total
Argentina,AR,ARG,32,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.140000105,Male,Units,%,Modelled,,,Total
Argentina,AR,ARG,32,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.2300000190000002,Total,Units,%,Modelled,,,Total
Armenia,AM,ARM,51,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.920000076,Female,Units,%,Modelled,,,Total
Armenia,AM,ARM,51,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.4600000380000004,Male,Units,%,Modelled,,,Total
Armenia,AM,ARM,51,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.7300000190000002,Total,Units,%,Modelled,,,Total
Australia,AU,AUS,36,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,0.9100000262,Female,Units,%,Modelled,,,Total
Australia,AU,AUS,36,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.170000076,Male,Units,%,Modelled,,,Total
Australia,AU,AUS,36,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.559999943,Total,Units,%,Modelled,,,Total
Austria,AT,AUT,40,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.590000033,Female,Units,%,Modelled,,,Total
Austria,AT,AUT,40,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.2699999809999998,Male,Units,%,Modelled,,,Total
Austria,AT,AUT,40,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.940000057,Total,Units,%,Modelled,,,Total
Azerbaijan,AZ,AZE,31,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.839999914,Female,Units,%,Modelled,,,Total
Azerbaijan,AZ,AZE,31,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,6.03000021,Male,Units,%,Modelled,,,Total
Azerbaijan,AZ,AZE,31,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.010000229,Total,Units,%,Modelled,,,Total
Bahamas,BS,BHS,44,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.680000067,Female,Units,%,Modelled,,,Total
Bahamas,BS,BHS,44,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.920000076,Male,Units,%,Modelled,,,Total
Bahamas,BS,BHS,44,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.799999952,Total,Units,%,Modelled,,,Total
Bahrain,BH,BHR,48,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.449999809,Female,Units,%,Modelled,,,Total
Bahrain,BH,BHR,48,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.730000019,Male,Units,%,Modelled,,,Total
Bahrain,BH,BHR,48,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.099999905,Total,Units,%,Modelled,,,Total
Bangladesh,BD,BGD,50,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,13.76000023,Female,Units,%,Modelled,,,Total
Bangladesh,BD,BGD,50,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,18.549999239999998,Male,Units,%,Modelled,,,Total
Bangladesh,BD,BGD,50,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,16.19000053,Total,Units,%,Modelled,,,Total
Barbados,BB,BRB,52,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.050000191,Female,Units,%,Modelled,,,Total
Barbados,BB,BRB,52,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.090000153,Male,Units,%,Modelled,,,Total
Barbados,BB,BRB,52,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.559999943,Total,Units,%,Modelled,,,Total
Belarus,BY,BLR,112,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.640000105,Female,Units,%,Modelled,,,Total
Belarus,BY,BLR,112,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.640000105,Male,Units,%,Modelled,,,Total
Belarus,BY,BLR,112,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.640000105,Total,Units,%,Modelled,,,Total
Belgium,BE,BEL,56,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.220000029,Female,Units,%,Modelled,,,Total
Belgium,BE,BEL,56,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.319999933,Male,Units,%,Modelled,,,Total
Belgium,BE,BEL,56,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.2699999809999998,Total,Units,%,Modelled,,,Total
Belize,BZ,BLZ,84,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.319999933,Female,Units,%,Modelled,,,Total
Belize,BZ,BLZ,84,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.74000001,Male,Units,%,Modelled,,,Total
Belize,BZ,BLZ,84,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.029999971,Total,Units,%,Modelled,,,Total
Benin,BJ,BEN,204,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.25999999,Female,Units,%,Modelled,,,Total
Benin,BJ,BEN,204,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,8.489999771,Male,Units,%,Modelled,,,Total
Benin,BJ,BEN,204,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.909999847,Total,Units,%,Modelled,,,Total
Bermuda,BM,BMU,60,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.090000153,Female,Units,%,Modelled,,,Total
Bermuda,BM,BMU,60,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.690000057,Male,Units,%,Modelled,,,Total
Bermuda,BM,BMU,60,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.400000095,Total,Units,%,Modelled,,,Total
Bhutan,BT,BTN,64,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.269999981,Female,Units,%,Modelled,,,Total
Bhutan,BT,BTN,64,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,6.320000172,Male,Units,%,Modelled,,,Total
Bhutan,BT,BTN,64,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.320000172,Total,Units,%,Modelled,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.019999981,Female,Units,%,Modelled,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.409999967,Male,Units,%,Modelled,,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.220000029,Total,Units,%,Modelled,,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.130000114,Female,Units,%,Modelled,,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.0399999619999996,Male,Units,%,Modelled,,,Total
Bosnia and Herzegovina,BA,BIH,70,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.589999914,Total,Units,%,Modelled,,,Total
Botswana,BW,BWA,72,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,6.96999979,Female,Units,%,Modelled,,,Total
Botswana,BW,BWA,72,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,11.93999958,Male,Units,%,Modelled,,,Total
Botswana,BW,BWA,72,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,9.479999542,Total,Units,%,Modelled,,,Total
Brazil,BR,BRA,76,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.640000105,Female,Units,%,Modelled,,,Total
Brazil,BR,BRA,76,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.680000067,Male,Units,%,Modelled,,,Total
Brazil,BR,BRA,76,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.660000086,Total,Units,%,Modelled,,,Total
Brunei,BN,BRN,96,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.930000067,Female,Units,%,Modelled,,,Total
Brunei,BN,BRN,96,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.25,Male,Units,%,Modelled,,,Total
Brunei,BN,BRN,96,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.609999895,Total,Units,%,Modelled,,,Total
Bulgaria,BG,BGR,100,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.2699999809999998,Female,Units,%,Modelled,,,Total
Bulgaria,BG,BGR,100,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.090000153,Male,Units,%,Modelled,,,Total
Bulgaria,BG,BGR,100,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.6900000570000002,Total,Units,%,Modelled,,,Total
Burkina Faso,BF,BFA,854,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.610000134,Female,Units,%,Modelled,,,Total
Burkina Faso,BF,BFA,854,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,15.93000031,Male,Units,%,Modelled,,,Total
Burkina Faso,BF,BFA,854,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,10.84000015,Total,Units,%,Modelled,,,Total
Burundi,BI,BDI,108,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.3699998859999996,Female,Units,%,Modelled,,,Total
Burundi,BI,BDI,108,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,8.859999657,Male,Units,%,Modelled,,,Total
Burundi,BI,BDI,108,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,8.119999886,Total,Units,%,Modelled,,,Total
Cape Verde,CV,CPV,132,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,10.06000042,Female,Units,%,Modelled,,,Total
Cape Verde,CV,CPV,132,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,8.340000153,Male,Units,%,Modelled,,,Total
Cape Verde,CV,CPV,132,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,9.18999958,Total,Units,%,Modelled,,,Total
Cambodia,KH,KHM,116,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,8.5799999239999991,Female,Units,%,Modelled,,,Total
Cambodia,KH,KHM,116,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.2899999619999996,Male,Units,%,Modelled,,,Total
Cambodia,KH,KHM,116,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.920000076,Total,Units,%,Modelled,,,Total
Cameroon,CM,CMR,120,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.24000001,Female,Units,%,Modelled,,,Total
Cameroon,CM,CMR,120,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.230000019,Male,Units,%,Modelled,,,Total
Cameroon,CM,CMR,120,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.739999771,Total,Units,%,Modelled,,,Total
Canada,CA,CAN,124,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,0.9599999785,Female,Units,%,Modelled,,,Total
Canada,CA,CAN,124,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.49000001,Male,Units,%,Modelled,,,Total
Canada,CA,CAN,124,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.74000001,Total,Units,%,Modelled,,,Total
Central African Republic,CF,CAF,140,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,6.309999943,Female,Units,%,Modelled,,,Total
Central African Republic,CF,CAF,140,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,9.359999657,Male,Units,%,Modelled,,,Total
Central African Republic,CF,CAF,140,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.849999905,Total,Units,%,Modelled,,,Total
Chad,TD,TCD,148,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,8.229999542,Female,Units,%,Modelled,,,Total
Chad,TD,TCD,148,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,11.15999985,Male,Units,%,Modelled,,,Total
Chad,TD,TCD,148,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,9.720000267,Total,Units,%,Modelled,,,Total
Chile,CL,CHL,152,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,0.5299999714,Female,Units,%,Modelled,,,Total
Chile,CL,CHL,152,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.5,Male,Units,%,Modelled,,,Total
Chile,CL,CHL,152,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.019999981,Total,Units,%,Modelled,,,Total
China,CN,CHN,156,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.289999962,Female,Units,%,Modelled,,,Total
China,CN,CHN,156,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.960000038,Male,Units,%,Modelled,,,Total
China,CN,CHN,156,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.6500000950000002,Total,Units,%,Modelled,,,Total
Colombia,CO,COL,170,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.669999957,Female,Units,%,Modelled,,,Total
Colombia,CO,COL,170,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.5199999809999998,Male,Units,%,Modelled,,,Total
Colombia,CO,COL,170,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.0999999049999998,Total,Units,%,Modelled,,,Total
Comoros,KM,COM,174,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.3499999049999998,Female,Units,%,Modelled,,,Total
Comoros,KM,COM,174,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,8.850000381,Male,Units,%,Modelled,,,Total
Comoros,KM,COM,174,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,6.1300001140000004,Total,Units,%,Modelled,,,Total
Congo,CG,COG,178,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.889999866,Female,Units,%,Modelled,,,Total
Congo,CG,COG,178,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,9.640000343,Male,Units,%,Modelled,,,Total
Congo,CG,COG,178,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.2899999619999996,Total,Units,%,Modelled,,,Total
Cook Islands,CK,COK,184,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,0.5400000215,Female,Units,%,Modelled,,,Total
Cook Islands,CK,COK,184,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.210000038,Male,Units,%,Modelled,,,Total
Cook Islands,CK,COK,184,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,0.8799999952,Total,Units,%,Modelled,,,Total
Costa Rica,CR,CRI,188,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.3099999429999998,Female,Units,%,Modelled,,,Total
Costa Rica,CR,CRI,188,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.210000038,Male,Units,%,Modelled,,,Total
Costa Rica,CR,CRI,188,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.7699999809999998,Total,Units,%,Modelled,,,Total
Croatia,HR,HRV,191,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.799999952,Female,Units,%,Modelled,,,Total
Croatia,HR,HRV,191,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.539999962,Male,Units,%,Modelled,,,Total
Croatia,HR,HRV,191,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,1.669999957,Total,Units,%,Modelled,,,Total
Cuba,CU,CUB,192,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.599999905,Female,Units,%,Modelled,,,Total
Cuba,CU,CUB,192,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.21999979,Male,Units,%,Modelled,,,Total
Cuba,CU,CUB,192,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,6.429999828,Total,Units,%,Modelled,,,Total
Cyprus,CY,CYP,196,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.869999886,Female,Units,%,Modelled,,,Total
Cyprus,CY,CYP,196,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.369999886,Male,Units,%,Modelled,,,Total
Cyprus,CY,CYP,196,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.130000114,Total,Units,%,Modelled,,,Total
Czech Republic,CZ,CZE,203,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.75999999,Female,Units,%,Modelled,,,Total
Czech Republic,CZ,CZE,203,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.8499999049999998,Male,Units,%,Modelled,,,Total
Czech Republic,CZ,CZE,203,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.319999933,Total,Units,%,Modelled,,,Total
Ivory Coast,CI,CIV,384,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.9800000190000002,Female,Units,%,Modelled,,,Total
Ivory Coast,CI,CIV,384,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,10.03999996,Male,Units,%,Modelled,,,Total
Ivory Coast,CI,CIV,384,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.0399999619999996,Total,Units,%,Modelled,,,Total
"Korea, Democratic People's Republic of",KP,PRK,408,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.78000021,Female,Units,%,Modelled,,,Total
"Korea, Democratic People's Republic of",KP,PRK,408,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,10.53999996,Male,Units,%,Modelled,,,Total
"Korea, Democratic People's Republic of",KP,PRK,408,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,9.199999809,Total,Units,%,Modelled,,,Total
"Congo, the Democratic Republic of the",CD,COD,180,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.28000021,Female,Units,%,Modelled,,,Total
"Congo, the Democratic Republic of the",CD,COD,180,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,8.899999619,Male,Units,%,Modelled,,,Total
"Congo, the Democratic Republic of the",CD,COD,180,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,6.590000153,Total,Units,%,Modelled,,,Total
Denmark,DK,DNK,208,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.1900000570000002,Female,Units,%,Modelled,,,Total
Denmark,DK,DNK,208,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.1900000570000002,Male,Units,%,Modelled,,,Total
Denmark,DK,DNK,208,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.700000048,Total,Units,%,Modelled,,,Total
Djibouti,DJ,DJI,262,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.400000095,Female,Units,%,Modelled,,,Total
Djibouti,DJ,DJI,262,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,9.050000191,Male,Units,%,Modelled,,,Total
Djibouti,DJ,DJI,262,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,7.239999771,Total,Units,%,Modelled,,,Total
Dominica,DM,DMA,212,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,2.99000001,Female,Units,%,Modelled,,,Total
Dominica,DM,DMA,212,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,4.21999979,Male,Units,%,Modelled,,,Total
Dominica,DM,DMA,212,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,3.609999895,Total,Units,%,Modelled,,,Total
Dominican Republic,DO,DOM,214,"Percentage of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (crude estimate)",2022,5.840000153,Female,Units,%,Modelled,,,Total
